trial,score,PID_KP,PID_KI,PID_KD,PID_INTEGRAL_LIMIT,YAW_DEADBAND_DEG,MAX_ROTATE_SPEED,MIN_COMMAND_SPEED,COLOR_KP_X,COLOR_KD_X,COLOR_KP_Y,COLOR_KD_Y,COLOR_DEAD_ZONE,COLOR_CENTER_EXIT_ZONE,COLOR_INPUT_FILTER_ALPHA,COLOR_COMMAND_FILTER_ALPHA,COLOR_MAX_TRACKING_SPEED,COLOR_COMMAND_RAMP_STEP,MIN_TRANSLATE_SPEED,DRIVE_MAX_DUTY,DRIVE_TRANSLATE_BIAS_DUTY,usable_samples,mean_abs_yaw_error,rms_color_error,rotate_std,vx_std,vy_std,settled,settle_time_s,steady_mean_abs_yaw_error,steady_rms_color_error,steady_rotate_std,steady_vx_std,steady_vy_std,locked_ratio,center_ratio,failure_reason
baseline,154.75304514438207,0.14,0.07,0.3,52.0,0.7,61.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.0,1.1,2.0,7500.0,4800.0,26.0,5.492176,2.480694691225676,11.191712910445053,0.0,0.0,0.0,8.573018099997716,5.492176,2.480694691225676,11.191712910445053,0.0,0.0,0.8846153846153846,0.8846153846153846,
ai_round1_1,182.36097290929507,0.18,0.07,0.35,52.0,0.8,67.0,40.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.0,1.1,2.0,7500.0,4800.0,27.0,6.108308695652173,12.185918740809282,35.86532006473139,0.5341044855727354,0.10436873076545111,0.0,8.615188299999863,6.108308695652173,12.185918740809282,35.86532006473139,0.5341044855727354,0.10436873076545111,0.8518518518518519,0.7037037037037037,
ai_round1_2,67.28561198636747,0.18,0.07,0.3,60.0,0.8,64.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.0,1.1,2.0,7500.0,4800.0,26.0,2.511522727272727,6.219618010397833,25.846153846153847,0.496132474509897,0.9114314084816607,1.0,4.719566399999167,0.6575142857142857,1.830984113903564,0.0,0.0,0.0,0.7692307692307693,0.4230769230769231,
ai_round1_3,182.8024053831557,0.14,0.07,0.3,52.0,0.9,61.0,42.0,0.033,0.25,0.033,0.25,5.0,7.0,0.29,0.45,6.0,0.9,2.0,7100.0,4500.0,28.0,9.608245833333333,6.429296571228204,25.937424698685874,0.2960879746367451,0.5477967016855351,0.0,8.610245000001305,9.608245833333333,6.429296571228204,25.937424698685874,0.2960879746367451,0.5477967016855351,0.7857142857142857,0.6785714285714286,
ai_round2_1,161.56874263075238,0.16,0.07,0.3,60.0,0.9,58.0,38.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.0,1.1,2.0,7500.0,4800.0,25.0,4.691028571428571,6.30300517324634,17.595280385768906,0.4505072033341975,0.5255172640208883,0.0,8.338254299998516,4.691028571428571,6.30300517324634,17.595280385768906,0.4505072033341975,0.5255172640208883,0.76,0.52,
ai_round2_2,161.5020545529946,0.18,0.07,0.3,60.0,0.8,64.0,42.0,0.033,0.25,0.033,0.25,5.0,7.0,0.25,0.4,5.5,1.1,2.0,7100.0,4500.0,27.0,4.701990476190476,4.676850758624289,16.314804304869025,0.0,0.0,0.0,8.540958299997873,4.701990476190476,4.676850758624289,16.314804304869025,0.0,0.0,0.7037037037037037,0.6666666666666666,
