trial,score,PID_KP,PID_KI,PID_KD,PID_INTEGRAL_LIMIT,YAW_DEADBAND_DEG,MAX_ROTATE_SPEED,MIN_COMMAND_SPEED,COLOR_KP_X,COLOR_KD_X,COLOR_KP_Y,COLOR_KD_Y,COLOR_DEAD_ZONE,COLOR_CENTER_EXIT_ZONE,COLOR_INPUT_FILTER_ALPHA,COLOR_COMMAND_FILTER_ALPHA,COLOR_MAX_TRACKING_SPEED,COLOR_COMMAND_RAMP_STEP,MIN_TRANSLATE_SPEED,DRIVE_MAX_DUTY,DRIVE_TRANSLATE_BIAS_DUTY,usable_samples,mean_abs_yaw_error,rms_color_error,rotate_std,vx_std,vy_std,settled,settle_time_s,steady_mean_abs_yaw_error,steady_rms_color_error,steady_rotate_std,steady_vx_std,steady_vy_std,locked_ratio,center_ratio,failure_reason
baseline,217.67159767431258,0.14,0.07,0.3,52.0,0.7,61.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.0,1.1,2.0,7500.0,4800.0,28.0,26.69184090909091,3.2990799571655525,17.233687939614086,0.0,0.0,0.0,8.735579199999938,26.69184090909091,3.2990799571655525,17.233687939614086,0.0,0.0,0.8928571428571429,0.8214285714285714,
ai_round1_1,1000000.0,0.12,0.05,0.35,44.0,0.8,55.0,38.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.0,1.1,2.0,7500.0,4800.0,0.0,,,,,,,,,,,,,,,MIN_COMMAND_SPEED 执行失败，回包：''
ai_round1_2,180.2917524842603,0.14,0.05,0.35,44.0,0.8,55.0,38.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,5.5,0.7,2.0,7100.0,4500.0,29.0,10.866823076923076,4.263476961935699,24.65399080843509,0.46734453504368295,0.2031403097514074,0.0,8.504011200000013,10.866823076923076,4.263476961935699,24.65399080843509,0.46734453504368295,0.2031403097514074,0.9310344827586207,0.7931034482758621,
ai_round1_3,171.8905085187452,0.12,0.07,0.3,52.0,0.9,49.0,38.0,0.027,0.3,0.027,0.3,5.0,7.0,0.25,0.4,7.0,1.1,2.0,7500.0,4800.0,27.0,3.8857500000000003,10.19593077419761,31.02687007525359,0.2972447400723617,0.6955549337945393,0.0,8.532897899999943,3.8857500000000003,10.19593077419761,31.02687007525359,0.2972447400723617,0.6955549337945393,0.8518518518518519,0.6296296296296297,
ai_round2_1,1000000.0,0.12,0.07,0.35,52.0,1.0,43.0,38.0,0.027,0.3,0.027,0.3,4.0,6.0,0.25,0.4,5.5,0.7,2.0,7100.0,4500.0,0.0,,,,,,,,,,,,,,,AI_STOP 执行失败，回包：''
