trial,score,PID_KP,PID_KI,PID_KD,PID_INTEGRAL_LIMIT,YAW_DEADBAND_DEG,MAX_ROTATE_SPEED,MIN_COMMAND_SPEED,COLOR_KP_X,COLOR_KD_X,COLOR_KP_Y,COLOR_KD_Y,COLOR_DEAD_ZONE,COLOR_CENTER_EXIT_ZONE,COLOR_INPUT_FILTER_ALPHA,COLOR_COMMAND_FILTER_ALPHA,COLOR_MAX_TRACKING_SPEED,COLOR_COMMAND_RAMP_STEP,MIN_TRANSLATE_SPEED,DRIVE_MAX_DUTY,DRIVE_TRANSLATE_BIAS_DUTY,usable_samples,mean_abs_yaw_error,rms_color_error,rotate_std,vx_std,vy_std,settled,settle_time_s,steady_mean_abs_yaw_error,steady_rms_color_error,steady_rotate_std,steady_vx_std,steady_vy_std,locked_ratio,center_ratio,failure_reason
baseline,32.411580740409164,0.15,0.07,0.01,60.0,0.5,64.0,50.0,0.033,0.25,0.033,0.25,3.0,5.0,0.25,0.4,5.5,1.1,2.0,7100.0,5200.0,23.0,0.1326125,2.345359271235807,0.0,0.0,0.0,1.0,2.393911700000899,0.11963636363636364,2.291002625238756,0.0,0.0,0.0,0.8695652173913043,0.8695652173913043,
ai_round1_1,1000000.0,0.23,0.07,0.06,60.0,0.5,70.0,50.0,0.039,0.25,0.039,0.25,3.0,5.0,0.25,0.4,7.0,1.5,2.0,7500.0,5200.0,0.0,,,,,,,,,,,,,,,AI_START 回包 ERR unsupported，可能是无线串口丢字导致命令不完整，本轮跳过。
ai_round1_2,1000000.0,0.15,0.07,0.01,60.0,0.5,64.0,50.0,0.039,0.25,0.039,0.25,3.0,5.0,0.25,0.4,7.0,1.5,4.0,7500.0,5500.0,0.0,,,,,,,,,,,,,,,AI_STOP 回包 ERR unsupported，可能是无线串口丢字导致命令不完整，本轮跳过。
ai_round1_3,1000000.0,0.23,0.07,0.06,60.0,0.6,68.0,50.0,0.033,0.25,0.033,0.25,3.0,5.0,0.25,0.35,6.5,1.5,2.0,7100.0,5200.0,0.0,,,,,,,,,,,,,,,COLOR_COMMAND_FILTER_ALPHA 执行失败，回包：'ERR invalid COLOR_COMMAND_FILTER_ALPHA'
