trial,score,PID_KP,PID_KI,PID_KD,PID_INTEGRAL_LIMIT,YAW_DEADBAND_DEG,MAX_ROTATE_SPEED,MIN_COMMAND_SPEED,COLOR_KP_X,COLOR_KD_X,COLOR_KP_Y,COLOR_KD_Y,COLOR_DEAD_ZONE,COLOR_CENTER_EXIT_ZONE,COLOR_INPUT_FILTER_ALPHA,COLOR_COMMAND_FILTER_ALPHA,COLOR_MAX_TRACKING_SPEED,COLOR_COMMAND_RAMP_STEP,MIN_TRANSLATE_SPEED,DRIVE_MAX_DUTY,DRIVE_TRANSLATE_BIAS_DUTY,usable_samples,mean_abs_yaw_error,rms_color_error,rotate_std,vx_std,vy_std,settled,settle_time_s,steady_mean_abs_yaw_error,steady_rms_color_error,steady_rotate_std,steady_vx_std,steady_vy_std,locked_ratio,center_ratio,failure_reason
baseline,8800000174.592508,0.14,0.07,0.3,52.0,0.7,61.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.0,1.1,2.0,7500.0,4800.0,25.0,3.824785,40000000002.8,33.34704784534907,0.5392109096225706,0.43083464733468224,0.0,8.619873900000675,3.824785,40000000002.8,33.34704784534907,0.5392109096225706,0.43083464733468224,0.72,0.64,
ai_round1_1,214.67697220126692,0.1,0.05,0.3,44.0,1.0,43.0,36.0,0.027,0.3,0.027,0.3,5.0,7.0,0.25,0.4,7.0,1.1,2.0,7500.0,4800.0,24.0,27.707913043478264,1.673942452216751,9.9498743710662,0.0,0.0,0.0,8.53978369999968,27.707913043478264,1.673942452216751,9.9498743710662,0.0,0.0,0.75,0.6666666666666666,
ai_round1_2,201.17336510962895,0.12,0.07,0.3,52.0,0.9,49.0,38.0,0.027,0.3,0.027,0.3,6.0,8.0,0.29,0.45,6.0,0.9,1.0,7500.0,4800.0,26.0,13.14475,13.582589668033355,32.941403957247424,0.3031361896610969,0.5179824262514371,0.0,8.627799999999842,13.14475,13.582589668033355,32.941403957247424,0.3031361896610969,0.5179824262514371,0.8461538461538461,0.46153846153846156,
ai_round1_3,331.15398618269086,0.12,0.05,0.3,44.0,1.0,45.0,36.0,0.027,0.3,0.027,0.3,6.0,8.0,0.25,0.45,6.0,1.1,2.0,7500.0,4800.0,26.0,65.79209999999999,7.017754414972157,28.678590245364894,0.413433393836363,0.6389749672963417,0.0,8.520445200001268,65.79209999999999,7.017754414972157,28.678590245364894,0.413433393836363,0.6389749672963417,0.7692307692307693,0.6153846153846154,
